category,num_benchmarks,art_abs_error_mean,art_abs_error_max,art_abs_error_count,noart_abs_error_mean,noart_abs_error_max,noart_abs_error_count,speedup_abs_error_mean,speedup_abs_error_max,speedup_abs_error_count
Compute,10,29.596442934013027,75.73333333333335,10,7.480054568700032,13.9938080495356,10,23.283633071935835,49.50375261452652,10
Memory,8,39.47206091574285,83.57142857142857,8,10.587810475386961,22.421052631578945,8,22.120748303323296,40.67832960568644,8
Cache,2,12.78379898918042,19.38402309913378,2,16.825124685176153,18.294212218649513,2,10.818556313896451,20.285257918118653,2
Branch,7,112.57683801482831,135.502471169687,7,4.708485797018247,15.661923242777062,7,51.862514194293695,61.65405780704315,7
All,27,52.790606694378965,135.502471169687,27,8.37454368294726,22.421052631578945,27,29.425075153103464,61.65405780704315,27
