gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version DEVELOP-FOR-25.1
gem5 compiled Apr  7 2026 19:51:13
gem5 started Apr  7 2026 20:08:15
gem5 executing on cascade, pid 2700696
command line: /scr/studyztp/gem5-binary/roboarch/build/ARM/gem5.opt -re --outdir=/home/studyztp/test_ground/gem5-fix-cache-line-size/gem5/microbenchmarks/gem5-result-noart/m5out_entobench_all_bench-ldr_literal gem5/run_m5op_bench.py --no-art --firmware /scr/studyztp/benchmarks/gem5-build/bin/bench-ldr_literal.elf

Global frequency set at 1000000000000 ticks per second
Starting simulation (ROI flags: none)...

*** ROI BEGIN at tick 239867960 ***
=== Benchmark Configuration ===
REPS: zu
INNER_REPS: zu
VERBOSITY: 1
MAX_PROBLEMS: zu
DO_WARMUP: true
ENABLE_CACHES: true
ENABLE_PREFETCH: true
ENABLE_VECTORIZATION: false
H7_PERFORMANCE_MULTIPLIER: zu
===============================
239938544: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13    : pop
240791434: system.cpu: T0 : 0x8007306 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+53    :   ldr   r1, [pc, #156]     : MemRead :  D=0x00000000beef000d A=0x80073a4
240832608: system.cpu: T0 : 0x8007308 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+55    :   ldr   r0, [pc, #156]     : MemRead :  D=0x00000000dead000e A=0x80073a8
240844372: system.cpu: T0 : 0x800730a @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+57    :   ldr   r1, [pc, #160]     : MemRead :  D=0x00000000beef000e A=0x80073ac
240891428: system.cpu: T0 : 0x800730c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+59    :   ldr   r0, [pc, #160]     : MemRead :  D=0x00000000dead000f A=0x80073b0
240897310: system.cpu: T0 : 0x800730e @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+61    :   ldr   r1, [pc, #164]     : MemRead :  D=0x00000000beef000f A=0x80073b4
240944366: system.cpu: T0 : 0x8007310 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+63    :   ldr   r0, [pc, #164]     : MemRead :  D=0x00000000dead0010 A=0x80073b8
240956130: system.cpu: T0 : 0x8007312 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+65    :   ldr   r1, [pc, #168]     : MemRead :  D=0x00000000beef0010 A=0x80073bc
240997304: system.cpu: T0 : 0x8007314 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+67    :   ldr   r0, [pc, #168]     : MemRead :  D=0x00000000dead0011 A=0x80073c0
241009068: system.cpu: T0 : 0x8007316 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+69    :   ldr   r1, [pc, #172]     : MemRead :  D=0x00000000beef0011 A=0x80073c4
241056124: system.cpu: T0 : 0x8007318 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+71    :   ldr   r0, [pc, #172]     : MemRead :  D=0x00000000dead0012 A=0x80073c8
241062006: system.cpu: T0 : 0x800731a @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+73    :   ldr   r1, [pc, #176]     : MemRead :  D=0x00000000beef0012 A=0x80073cc
241109062: system.cpu: T0 : 0x800731c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+75    :   ldr   r0, [pc, #176]     : MemRead :  D=0x00000000dead0013 A=0x80073d0
241120826: system.cpu: T0 : 0x800731e @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+77    :   ldr   r1, [pc, #180]     : MemRead :  D=0x00000000beef0013 A=0x80073d4
241162000: system.cpu: T0 : 0x8007320 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+79    :   ldr   r0, [pc, #180]     : MemRead :  D=0x00000000dead0014 A=0x80073d8
241173764: system.cpu: T0 : 0x8007322 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+81    :   ldr   r1, [pc, #184]     : MemRead :  D=0x00000000beef0014 A=0x80073dc
241214938: system.cpu: T0 : 0x8007324 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+83    :   ldr   r0, [pc, #184]     : MemRead :  D=0x00000000dead0015 A=0x80073e0
241226702: system.cpu: T0 : 0x8007326 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+85    :   ldr   r1, [pc, #188]     : MemRead :  D=0x00000000beef0015 A=0x80073e4
241267876: system.cpu: T0 : 0x8007328 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+87    :   ldr   r0, [pc, #188]     : MemRead :  D=0x00000000dead0016 A=0x80073e8
241279640: system.cpu: T0 : 0x800732a @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+89    :   ldr   r1, [pc, #192]     : MemRead :  D=0x00000000beef0016 A=0x80073ec
241320814: system.cpu: T0 : 0x800732c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+91    :   ldr   r0, [pc, #192]     : MemRead :  D=0x00000000dead0017 A=0x80073f0
241332578: system.cpu: T0 : 0x800732e @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+93    :   ldr   r1, [pc, #196]     : MemRead :  D=0x00000000beef0017 A=0x80073f4
241356106: system.cpu: T0 : 0x8007330 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+95    :   ldr   r0, [pc, #196]     : MemRead :  D=0x00000000dead0018 A=0x80073f8
241361988: system.cpu: T0 : 0x8007332 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+97    :   ldr   r1, [pc, #200]     : MemRead :  D=0x00000000beef0018 A=0x80073fc
241361988: system.cpu: T0 : 0x8007334 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+99    :   bx    lr                 : IntAlu :
241403162: system.cpu: T0 : 0x80074ea @main+233    :   subs   r4, r4, #1        : IntAlu :  D=0x0000000000000001
241414926: system.cpu: T0 : 0x80074ec @main+235    :   b   <main+225>           : IntAlu :
241479628: system.cpu: T0 : 0x80074e6 @main+229    :   bl.w   <_ZL7end_roiv+23> : IntAlu :  D=0x00000000080074eb
241538448: system.cpu: T0 : 0x80072d0 @_ZL7end_roiv+27    :   ldr   r0, [pc, #100]     : MemRead :  D=0x00000000dead0000 A=0x8007338
241550212: system.cpu: T0 : 0x80072d2 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+1    :   ldr   r1, [pc, #104]     : MemRead :  D=0x00000000beef0000 A=0x800733c
241591386: system.cpu: T0 : 0x80072d4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+3    :   ldr   r0, [pc, #104]     : MemRead :  D=0x00000000dead0001 A=0x8007340
241597268: system.cpu: T0 : 0x80072d6 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+5    :   ldr   r1, [pc, #108]     : MemRead :  D=0x00000000beef0001 A=0x8007344
241638442: system.cpu: T0 : 0x80072d8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+7    :   ldr   r0, [pc, #108]     : MemRead :  D=0x00000000dead0002 A=0x8007348
241644324: system.cpu: T0 : 0x80072da @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+9    :   ldr   r1, [pc, #112]     : MemRead :  D=0x00000000beef0002 A=0x800734c
241691380: system.cpu: T0 : 0x80072dc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+11    :   ldr   r0, [pc, #112]     : MemRead :  D=0x00000000dead0003 A=0x8007350
241703144: system.cpu: T0 : 0x80072de @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+13    :   ldr   r1, [pc, #116]     : MemRead :  D=0x00000000beef0003 A=0x8007354
241744318: system.cpu: T0 : 0x80072e0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+15    :   ldr   r0, [pc, #116]     : MemRead :  D=0x00000000dead0004 A=0x8007358
241756082: system.cpu: T0 : 0x80072e2 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+17    :   ldr   r1, [pc, #120]     : MemRead :  D=0x00000000beef0004 A=0x800735c
241803138: system.cpu: T0 : 0x80072e4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+19    :   ldr   r0, [pc, #120]     : MemRead :  D=0x00000000dead0005 A=0x8007360
241809020: system.cpu: T0 : 0x80072e6 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+21    :   ldr   r1, [pc, #124]     : MemRead :  D=0x00000000beef0005 A=0x8007364
241856076: system.cpu: T0 : 0x80072e8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+23    :   ldr   r0, [pc, #124]     : MemRead :  D=0x00000000dead0006 A=0x8007368
241867840: system.cpu: T0 : 0x80072ea @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+25    :   ldr   r1, [pc, #128]     : MemRead :  D=0x00000000beef0006 A=0x800736c
241909014: system.cpu: T0 : 0x80072ec @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+27    :   ldr   r0, [pc, #128]     : MemRead :  D=0x00000000dead0007 A=0x8007370
